日期,推广计划名称,宝贝名称,宝贝类型,商品id,搜索类型,流量来源,展现量,点击量,花费(分),点击率,平均点击花费(分),千次展现花费(分),点击转化率,直接成交金额(分),直接成交笔数,间接成交金额(分),间接成交笔数,总成交金额(分),总成交笔数,宝贝收藏数,店铺收藏数,总收藏数,投入产出比,直接购物车数,间接购物车数,总购物车数
2019-05-06,牡蛎【扩词】04-鱼腥草,买2发6姿美堂牡蛎片肽精华杜蛎黄精覆盆子杞草锌男性成人正品口服,宝贝推广,556833996282,搜索,移动站外,3,0,0,0.00,,0.00,,,,,,,,,,,,,,
2019-05-06,牡蛎【长尾词】09-鱼腥草,买2发6姿美堂牡蛎片肽精华杜蛎黄精覆盆子杞草锌男性成人正品口服,宝贝推广,556833996282,搜索,计算机站内,24,0,0,0.00,,0.00,,,,,,,,,,,,,,
2019-05-06,牡蛎【长尾词】09-鱼腥草,买2发6姿美堂牡蛎片肽精华杜蛎黄精覆盆子杞草锌男性成人正品口服,宝贝推广,556833996282,搜索,移动站内,4484,229,60705,5.11,265.09,13538.14,3.49,109600,7,19800,1,129400,8,3,0,3,2.13,15,0,15
2019-05-06,牡蛎【长尾词】05-鱼腥草,买2发6姿美堂牡蛎片肽精华杜蛎黄精覆盆子杞草锌男性成人正品口服,宝贝推广,556833996282,搜索,计算机站内,176,0,0,0.00,,0.00,,,,,,,,,,,,,,
2019-05-06,牡蛎【长尾词】05-鱼腥草,买2发6姿美堂牡蛎片肽精华杜蛎黄精覆盆子杞草锌男性成人正品口服,宝贝推广,556833996282,搜索,移动站内,2628,106,26099,4.03,246.22,9931.13,0.94,15800,1,0,0,15800,1,2,0,2,0.61,5,0,5
2019-05-06,牡蛎【长尾词】13-鱼腥草,买2发6姿美堂牡蛎片肽精华杜蛎黄精覆盆子杞草锌男性成人正品口服,宝贝推广,556833996282,搜索,计算机站内,67,1,351,1.49,351.00,5238.81,,,,,,,,,,,,,,
2019-05-06,牡蛎【长尾词】13-鱼腥草,买2发6姿美堂牡蛎片肽精华杜蛎黄精覆盆子杞草锌男性成人正品口服,宝贝推广,556833996282,搜索,移动站内,861,19,4635,2.21,243.95,5383.28,,,,,,,,,,,,,,
2019-05-06,牡蛎【长尾词】04-鱼腥草,买2发6姿美堂牡蛎片肽精华杜蛎黄精覆盆子杞草锌男性成人正品口服,宝贝推广,556833996282,搜索,计算机站内,1495,23,5274,1.54,229.30,3527.76,4.35,29600,1,0,0,29600,1,0,0,0,5.61,1,0,1
2019-05-06,牡蛎【长尾词】04-鱼腥草,买2发6姿美堂牡蛎片肽精华杜蛎黄精覆盆子杞草锌男性成人正品口服,宝贝推广,556833996282,搜索,移动站内,8787,122,28406,1.39,232.84,3232.73,0.82,15800,1,0,0,15800,1,3,0,3,0.56,7,0,7
2019-05-06,牡蛎【长尾词】03-鱼腥草,买2发6姿美堂牡蛎片肽精华杜蛎黄精覆盆子杞草锌男性成人正品口服,宝贝推广,556833996282,搜索,计算机站内,2940,56,10550,1.90,188.39,3588.44,7.14,23280,2,10300,2,33580,4,1,0,1,3.18,2,0,2
