日期,推广计划名称,宝贝名称,宝贝类型,商品id,搜索类型,流量来源,展现量,点击量,花费(分),点击率,平均点击花费(分),千次展现花费(分),点击转化率,直接成交金额(分),直接成交笔数,间接成交金额(分),间接成交笔数,总成交金额(分),总成交笔数,宝贝收藏数,店铺收藏数,总收藏数,投入产出比,直接购物车数,间接购物车数,总购物车数
2019-05-06,胶原【双智能】-南烛,姿美堂鱼胶原蛋白粉水解粉液态饮正品口服液肽精华质粉男女非片,宝贝推广,4098099921,搜索,移动站内,17758,761,337824,4.29,443.92,19023.76,2.89,442070,15,247230,7,689300,22,39,7,46,2.04,60,20,80
2019-05-06,胶原【pc端】02-鱼腥草,姿美堂鱼胶原蛋白粉水解粉液态饮正品口服液肽精华质粉男女非片,宝贝推广,4098099921,搜索,计算机站内,20742,98,37270,0.47,380.31,1796.84,1.02,23800,1,0,0,23800,1,3,0,3,0.64,1,0,1
2019-05-06,胶原【pc端】02-鱼腥草,姿美堂鱼胶原蛋白粉水解粉液态饮正品口服液肽精华质粉男女非片,宝贝推广,4098099921,定向投放,计算机站内,1100,0,0,0.00,,0.00,,,,,,,,,,,,,,
2019-05-06,酵素【扩词-果蔬酵素】01-青黛,姿美堂果蔬酵素粉台湾复合水果孝素粉正品男女非果冻梅饮夜间原液,宝贝推广,42967846606,搜索,移动站内,39992,4310,1306901,10.78,303.23,32679.06,6.13,2480980,221,482810,43,2963790,264,183,26,209,2.27,487,88,575
2019-05-06,胶原【长尾词】01-鱼腥草,姿美堂鱼胶原蛋白粉水解粉液态饮正品口服液肽精华质粉男女非片,宝贝推广,4098099921,搜索,移动站内,2975,190,50000,6.39,263.16,16806.72,2.11,145808,4,0,0,145808,4,9,0,9,2.92,16,4,20
2019-05-06,胶原【长尾词】01-鱼腥草,姿美堂鱼胶原蛋白粉水解粉液态饮正品口服液肽精华质粉男女非片,宝贝推广,4098099921,搜索,移动站外,1,0,0,0.00,,0.00,,,,,,,,,,,,,,
2019-05-06,酵素【扩词】02-青黛PC,姿美堂果蔬酵素粉台湾复合水果孝素粉正品男女非果冻梅饮夜间原液,宝贝推广,42967846606,搜索,计算机站内,2568,130,13600,5.06,104.62,5295.95,6.15,72753,6,31397,2,104150,8,0,0,0,7.66,3,3,6
2019-05-06,酵素【扩词-清肠排便】04-青黛,姿美堂果蔬酵素粉台湾复合水果孝素粉正品男女非果冻梅饮夜间原液,宝贝推广,42967846606,搜索,移动站内,1744,149,49534,8.54,332.44,28402.52,7.38,79949,7,33100,4,113049,11,4,0,4,2.28,20,5,25
2019-05-06,酵素【扩词】03-青黛,姿美堂果蔬酵素粉台湾复合水果孝素粉正品男女非果冻梅饮夜间原液,宝贝推广,42967846606,搜索,移动站内,6807,598,169969,8.79,284.23,24969.74,6.02,305540,32,30560,4,336100,36,35,6,41,1.98,80,11,91
2019-05-06,酵素【长尾】04-青黛,姿美堂果蔬酵素粉台湾复合水果孝素粉正品男女非果冻梅饮夜间原液,宝贝推广,42967846606,搜索,移动站内,2265,190,41470,8.39,218.26,18309.05,3.68,44900,5,12400,2,57300,7,10,1,11,1.38,17,4,21
